dataset,model,acc,time,args,source
wikics,DAGNN,85.07±0.73,1770.09,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 512, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DAGNN', 'dropout': 0.2, 'k': 3}",pyg

actor,SGFormer,37.36±1.11,16984.13,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.5, 'num_layers': 4, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.2, 'gnn': 'gcn', 'aggregate': 'add'}",pyg
blogcatalog,SGFormer,96.98±0.59,18287.06,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.8, 'gnn': 'gcn', 'aggregate': 'add'}",cola
flickr,SGFormer,91.62±0.55,19353.08,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.2, 'num_layers': 1, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.8, 'gnn': 'gcn', 'aggregate': 'add'}",cola
pubmed,SGFormer,89.75±0.44,31281.76,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.01, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.8, 'num_layers': 1, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.5, 'gnn': 'gcn', 'aggregate': 'add'}",pyg
photo,SGFormer,95.84±0.41,43968.32,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.8, 'num_layers': 1, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.5, 'gnn': 'gcn', 'aggregate': 'add'}",pyg
roman-empire,SGFormer,75.71±0.44,46308.34,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.5, 'num_layers': 2, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.2, 'gnn': 'gcn', 'aggregate': 'add'}",critical
wikics,SGFormer,84.72±0.72,20385.41,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.8, 'num_layers': 1, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.5, 'gnn': 'gcn', 'aggregate': 'add'}",pyg
squirrel,SGFormer,42.22±2.45,9568.95,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.8, 'num_layers': 8, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.8, 'gnn': 'gcn', 'aggregate': 'add'}",critical
chameleon,SGFormer,44.44±3.01,9068.54,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.8, 'num_layers': 4, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.5, 'gnn': 'gcn', 'aggregate': 'add'}",critical
amazon-ratings,SGFormer,51.60±0.62,13941.42,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'SGFormer', 'dropout': 0.5, 'num_layers': 1, 'num_heads': 1, 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True, 'use_act': False, 'graph_weight': 0.2, 'gnn': 'gcn', 'aggregate': 'add'}",critical


actor,DIFFormer,36.13±1.19,75.31,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",pyg
blogcatalog,DIFFormer,96.50±0.71,7845.53,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.5, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",cola
flickr,DIFFormer,90.86±0.58,7632.86,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.5, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",cola
pubmed,DIFFormer,88.90±0.47,10746.20,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.8, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",pyg
photo,DIFFormer,95.67±0.29,9663.91,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.5, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",pyg
roman-empire,DIFFormer,79.36±0.54,11991.55,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.2, 'num_layers': 4, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",critical
wikics,DIFFormer,84.27±0.75,3133.68,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.5, 'num_layers': 1, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",pyg
squirrel,DIFFormer,41.12±1.09,4257.71,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.2, 'num_layers': 8, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",critical
chameleon,DIFFormer,41.69±2.96,3175.28,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.8, 'num_layers': 2, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",critical
amazon-ratings,DIFFormer,49.33±0.97,2748.08,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'DIFFormer', 'dropout': 0.5, 'num_layers': 1, 'num_heads': 1, 'kernel': 'simple', 'alpha': 0.5, 'use_bn': True, 'use_residual': True, 'use_weight': True, 'use_graph': True}",critical


actor,NodeFormer,36.10±1.09,6719.76,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'actor', 'source': 'pyg', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.5, 'num_layers': 2, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 0.1, 'tau': 0.25}",pyg
blogcatalog,NodeFormer,94.28±0.67,75124.28,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'blogcatalog', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.5, 'num_layers': 4, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 1, 'tau': 0.25}",cola
pubmed,NodeFormer,88.36±0.43,18297.62,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'pubmed', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 1, 'tau': 0.25}",pyg
photo,NodeFormer,93.81±0.75,66624.25,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'photo', 'source': 'pyg', 'epochs': 2000, 'lr': 0.0005, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 1, 'tau': 0.25}",pyg
flickr,NodeFormer,89.05±0.99,105365.82,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'flickr', 'source': 'cola', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': 1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 4, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 1, 'tau': 0.25}",cola
wikics,NodeFormer,80.98±0.84,89651.82,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'wikics', 'source': 'pyg', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 4, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 0, 'tau': 0.25}",pyg
roman-empire,NodeFormer,70.24±1.58,944.37,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'roman-empire', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 4, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 0.1, 'tau': 0.25}",critical
squirrel,NodeFormer,38.38±1.81,1441.12,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 8, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 0.1, 'tau': 0.25}",critical
chameleon,NodeFormer,38.93±3.68,443.74,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 0.1, 'tau': 0.25}",critical
amazon-ratings,NodeFormer,42.67±0.77,11453.04,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'amazon-ratings', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'NodeFormer', 'dropout': 0.2, 'num_layers': 2, 'num_heads': 1, 'nb_random_features': 30, 'use_bn': True, 'use_gumbel': True, 'use_residual': True, 'use_act': False, 'use_jk': False, 'nb_gumbel_sample': 10, 'rb_order': 2, 'rb_trans': 'sigmoid', 'use_edge_loss': True, 'lamda': 1, 'tau': 0.25}",critical

actor,IGNN,38.71±1.00,2.55,"{'row_normalized': False, 'nie': 'gcn-nie-nst', 'nrl': 'concat', 'lr': 0.001, 'h_feats': 512, 'l2_coef': 5e-05, 'nas_dropout': 0.0, 'nss_dropout': 0.8, 'clf_dropout': 0.9, 'n_epochs': 2000, 'n_hops': 1, 'n_layers': 1, 'early_stop': 100, 'n_intervals': 2, 'act': 'relu', 'layer_norm': True}",pyg
blogcatalog,IGNN,97.13±0.21,29.52,"{'row_normalized': True, 'nie': 'gcn-nie-nst', 'nrl': 'concat', 'lr': 0.001, 'h_feats': 512, 'l2_coef': 5e-05, 'nas_dropout': 0.5, 'nss_dropout': 0.8, 'clf_dropout': 0.9, 'n_epochs': 2000, 'n_hops': 10, 'n_layers': 1, 'early_stop': 100, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True}",cola
flickr,IGNN,93.23±0.61,31.03,"{'nie': 'gcn-nie-nst', 'nrl': 'lstm', 'lr': 0.001, 'h_feats': 512, 'l2_coef': 5e-05, 'dropout': 0.8, 'dropout2': 0.9, 'n_epochs': 2000, 'n_hops': 10, 'n_layers': 1, 'early_stop': 100, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True, 'row_normalized': True}",cola
squirrel,IGNN,43.89±1.79,70.55,"{'row_normalized': True, 'nie': 'gcn-nie-nst', 'nrl': 'concat', 'lr': 0.001, 'h_feats': 512, 'l2_coef': 5e-05, 'nas_dropout': 0.8, 'nss_dropout': 0.8, 'clf_dropout': 0.9, 'n_epochs': 2000, 'n_hops': 64, 'n_layers': 1, 'early_stop': 200, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True}",critical
chameleon,IGNN,47.13±5.18,3285.72,"{'nie': 'gcn-nie-nst', 'nrl': 'max', 'lr': 0.001, 'h_feats': 512, 'l2_coef': 5e-05, 'dropout': 0.8, 'dropout2': 0.9, 'n_epochs': 2000, 'n_hops': 10, 'n_layers': 1, 'early_stop': 100, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True}",critical
roman-empire,IGNN,86.07±0.60,239.17,"{'row_normalized': False, 'nie': 'gcn-nie-nst', 'nrl': 'lstm', 'lr': 0.001, 'h_feats': 300, 'l2_coef': 5e-05, 'nas_dropout': 0.2, 'nss_dropout': 0.2, 'clf_dropout': 0.2, 'n_epochs': 2000, 'n_hops': 1, 'n_layers': 5, 'early_stop': 100, 'n_intervals': 2, 'act': 'relu', 'layer_norm': True}",critical
amazon-ratings,IGNN,53.01±0.77,26.09,"{'row_normalized': True, 'nie': 'gcn-nie-nst', 'nrl': 'concat', 'lr': 0.001, 'h_feats': 300, 'l2_coef': 5e-05, 'nas_dropout': 0.0, 'nss_dropout': 0.5, 'clf_dropout': 0.9, 'n_epochs': 2000, 'n_hops': 6, 'n_layers': 1, 'early_stop': 100, 'n_intervals': 3, 'act': 'prelu', 'layer_norm': True}",critical
pubmed,IGNN,90.30±0.41,41.34,"{'row_normalized': True, 'nie': 'gcn-nie-nst', 'nrl': 'self-attention', 'lr': 0.001, 'h_feats': 500, 'l2_coef': 5e-05, 'nas_dropout': 0.2, 'nss_dropout': 0.8, 'clf_dropout': 0.9, 'n_epochs': 2000, 'n_hops': 4, 'n_layers': 1, 'early_stop': 300, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True, 'loss': 'ce'}",pyg
photo,IGNN,95.75±0.38,21.38,"{'row_normalized': True, 'nie': 'gcn-nie-nst', 'nrl': 'self-attention', 'lr': 0.001, 'h_feats': 256, 'l2_coef': 5e-05, 'nas_dropout': 0.4, 'nss_dropout': 0.8, 'clf_dropout': 0.5, 'n_epochs': 2000, 'n_hops': 10, 'n_layers': 1, 'early_stop': 200, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True, 'loss': 'ce'}",pyg
wikics,IGNN,86.09±0.48,126020.18,"{'nie': 'gcn-nie-nst', 'nrl': 'max', 'lr': 0.001, 'h_feats': 300, 'l2_coef': 5e-05, 'dropout': 0.2, 'dropout2': 0.9, 'n_epochs': 2000, 'n_hops': 3, 'n_layers': 1, 'early_stop': 200, 'n_intervals': 3, 'act': 'relu', 'layer_norm': True}",pyg
